n	E	N	huitante	octante	quatre-vingts	cougner	biquer	courber	gatter	sécher	schwentzer	Un.traclet	Un.regio	Un.RER	Un.omnibus	Le.dur	Le maire	Le président	Le syndic	ruper	casser.la.croûte	manger.un.morceau	grailler	luncher	bouffer	Des.grolles	Des.godasses	Des.tricounis	Des.souliers	Des.godillots	Des.pompes	Tschüss	Adieu	Adjeu	Tout.de.bon	Tchô	Tchô.bonne	Ciao	pougner	frouiller	mascogner	copier	X.s.chinder	astiquer	poutzer	faire.les.à.fonds	faire.le.ménage	réduire	Une.torrée	Une.brisolée	Un.pique.nique	Une.canette	Une.chope	Une.cinq	Une.grande.bière	Une.pinte	Un.lycée	Un.collège	Un.gymnase	Une.braillée	Une.beuglée	Une.bramée	Une.bouellée	Piosser	Niaucher.Niauquer	Chouiner.Wouiner	Piomer	Chialer	Piauner	Grincher	Une.cramine	Une.fricasse	Un.cru	La.rebuse	Le.régent	Le.prof	Le.raitet	L.enseignant	Le.maître	Baboler	Barjaquer	Batoiller	Baidger	Causer	Elle.beutche	Elle.flambe	Elle.crame	Elle.chupie	Des.planelles	Des.catelles	Des.carrons	Je.ne.pouvais.plus.dire.papet	Je.me.suis.foutu.une.mine	J.étais.sur.Soleure	Je.me.suis.mis.sur.le.toit	Je.me.suis.ramassé.une.chiée.une.cuite	Je.me.suis.pris.une.tuée	Je.me.voyais.plus.les.mains	Papi.et.mami	Papa.et.maman	Père.et.mère	Le..vatr..et.la..mutr.	Le..pater..et.la.mère	Le.père.et.la.mère	Le.croûtion	Le.crotchon	Le.croûton	Le.trognon	Une.tétine	Une.lolette	Un.nouki	Une.raclée	Une.tapée	Une.chiée	Une.pétée	Une.peufnée	Une..é.péclée	Une.brontsée	Une.masse	Une.craquée	Un.matson	Une.bricole	Un.chouia	Une.tchette	Une.bedoume	Un.bobet	Un.boeuf	Un.niolu	Un.tocson	Un.topiot	Un.toyet	Un.dadet	J.arrive.incessamment.sous.peu	J.arrive.immédiatement	J.arrive.tout.soudain	J.arrive.dans.5	J.arrive	Gniaffer	Gifler	Baffer	Un.cheni	Un.commerce	Des.babioles	Un.petchi	Blètse	Biètse	Plètse	Tacon	De.la.réclame	Des.prospectus	De.la.publicité	De.la.pub	Des.tous.ménages	Foutimasser	Pétouiller	Faratzer	Glander	Baster	Bâcher	Capion	Sarcloir	Piochette	Piochard	Longeole	Boule.de.Bâle	Cervelas	Boutefas	Schublig	Wienerli	Un.dicastère	Un.département	Une.section	Un.ministère	Une.direction	Le.téléjournal	Le.TJ	Le.journal.télévisé	Le.JT	Les.nouvelles	Les.news	Les.infos
Aclens	4	529	158	4	0	0	0	0	4	0	2	1	1	2	1	1	0	0	0	4	4	0	2	3	0	3	3	3	0	2	2	3	3	2	1	2	3	2	3	4	1	0	1	1	1	4	1	3	0	1	0	4	0	4	0	1	3	0	0	4	3	3	0	3	0	2	4	0	4	1	0	3	2	1	0	0	3	0	1	2	0	1	4	0	3	0	3	4	0	0	4	1	1	3	1	1	4	0	2	0	4	0	0	0	0	0	4	0	1	0	4	0	1	1	4	4	0	2	0	1	1	0	4	4	1	3	4	0	2	0	2	4	2	0	0	2	4	1	1	2	3	3	0	1	2	1	1	0	2	3	1	0	2	2	2	0	1	3	2	3	1	3	0	0	0	0	4	2	0	0	3	1	0	0	0	2	1	1	2	2	0	1
Agiez	2	529	175	2	0	0	0	0	2	0	2	0	0	1	1	1	0	0	0	2	2	1	1	1	0	2	1	2	0	2	1	1	1	0	1	0	1	1	1	2	2	0	0	0	1	2	1	2	0	0	0	2	0	1	0	1	0	0	0	2	1	0	0	1	0	1	1	0	2	0	0	2	0	1	0	1	2	0	0	0	0	1	1	0	1	0	0	2	0	0	2	0	0	1	0	1	1	0	1	0	2	0	0	0	0	0	2	0	1	0	2	0	0	1	2	2	0	0	0	0	0	0	1	2	0	2	1	0	1	0	2	2	1	0	0	2	0	0	0	1	2	2	1	0	1	0	2	0	1	2	0	0	1	0	1	0	0	1	0	2	0	2	0	0	0	0	2	0	1	1	2	0	0	0	0	1	1	0	0	0	0	0
Aigle	48	564	130	47	0	1	1	0	38	0	26	1	2	38	1	13	2	0	1	47	31	16	20	27	0	30	14	43	3	16	10	22	8	19	13	10	31	20	21	48	7	0	16	4	14	45	17	30	2	3	7	42	2	46	0	5	7	1	3	46	39	18	2	26	0	2	21	3	43	7	2	38	19	10	0	4	45	0	15	19	1	21	32	0	31	1	20	47	0	9	48	0	4	34	7	13	30	17	28	4	34	3	0	0	15	2	44	3	11	8	47	0	3	11	43	36	1	8	0	5	25	0	28	45	2	28	46	6	18	0	37	28	30	17	2	21	34	20	7	31	37	38	20	15	24	22	5	6	27	29	20	14	38	20	16	12	1	38	17	33	3	21	20	6	0	1	45	9	18	10	20	16	7	0	8	33	15	6	14	15	1	17
Aire-la-Ville	8	492	116	1	0	7	0	1	1	3	7	0	0	3	7	0	0	8	0	0	1	4	3	4	2	6	5	8	0	4	3	4	2	3	1	1	5	2	3	2	1	5	4	1	2	7	0	7	0	0	0	8	5	4	1	1	0	1	7	0	4	6	0	2	0	1	5	0	8	0	2	3	4	2	0	0	8	0	2	2	0	6	1	0	8	0	4	8	0	0	8	0	1	7	0	3	5	1	3	0	7	1	0	0	4	0	4	2	6	2	7	1	0	3	8	7	0	1	0	0	1	0	3	8	0	1	8	0	3	0	0	2	8	2	0	0	6	3	0	7	6	7	0	2	3	3	0	2	2	2	3	3	8	2	0	3	0	7	2	6	1	6	2	0	2	0	7	1	3	2	0	4	3	0	0	4	4	1	3	4	1	3
Allaman	4	520	147	4	0	0	0	0	3	0	3	0	0	2	1	1	1	0	0	4	4	4	4	3	2	4	4	4	0	3	3	4	0	4	1	3	4	3	2	3	4	0	2	1	4	4	3	3	0	1	1	4	0	4	2	2	1	0	0	4	4	3	2	4	0	2	3	0	4	0	1	4	3	2	0	3	4	0	3	3	0	3	4	0	4	1	4	3	0	1	4	0	0	4	2	3	4	2	3	0	4	2	0	0	3	1	4	1	2	2	4	0	0	2	4	3	1	3	0	3	4	1	4	4	1	2	4	0	2	1	4	2	3	2	0	2	2	2	1	4	4	2	2	1	3	3	0	0	3	4	2	2	3	2	3	2	1	2	3	2	0	4	0	0	0	0	3	0	2	2	2	2	0	0	3	3	1	1	0	2	0	1
Alle	15	577	253	0	0	15	0	12	1	0	7	0	0	15	2	0	0	15	0	0	0	13	12	1	2	9	4	13	0	11	0	10	4	3	1	4	3	1	12	0	0	0	7	14	4	15	2	11	1	0	0	15	0	11	9	7	2	13	2	1	13	3	0	7	0	1	8	0	14	0	1	1	11	4	0	0	14	5	6	4	0	9	0	3	11	12	3	13	0	13	3	0	0	11	3	0	11	8	9	2	12	1	0	0	4	0	1	10	4	1	13	4	2	9	14	8	8	1	0	1	3	0	3	15	0	1	14	1	2	0	0	1	11	5	1	0	6	11	8	10	9	13	7	2	8	1	0	8	11	9	5	3	13	7	1	6	0	14	1	13	0	5	8	0	0	0	14	0	0	9	8	4	5	0	2	9	3	3	4	11	2	7
Anières	10	506	126	1	0	9	1	0	1	4	8	0	2	4	3	2	0	9	1	0	1	5	7	8	0	8	8	7	0	2	2	6	2	3	2	3	5	2	5	3	0	6	5	0	5	10	0	6	0	0	0	10	8	6	0	1	2	0	10	0	10	6	0	3	0	0	6	0	9	1	0	3	6	1	0	0	8	0	3	3	0	7	2	0	8	0	5	10	0	0	10	0	0	8	0	5	3	2	5	1	10	0	0	0	2	0	4	3	6	4	9	1	0	5	10	7	0	1	0	3	0	0	3	10	0	2	9	2	4	0	2	3	7	6	1	1	5	6	1	6	10	10	2	1	7	7	1	0	1	6	4	5	9	4	3	2	0	9	5	5	0	2	8	0	3	0	10	1	3	1	3	3	1	0	1	8	1	2	4	8	2	5
Anniviers	5	613	114	5	0	0	0	0	1	0	5	0	0	4	0	1	0	0	5	0	2	1	3	1	0	3	1	3	0	3	1	1	1	1	1	1	3	3	1	5	0	0	0	0	0	4	0	3	0	1	1	5	0	5	0	0	0	0	5	0	5	0	0	0	0	0	0	0	5	0	0	3	4	0	0	1	4	0	1	0	0	3	1	0	2	0	2	5	0	0	4	0	0	4	2	3	4	3	3	1	2	0	0	0	3	0	5	0	0	2	4	0	0	1	4	3	0	0	0	1	1	0	3	4	0	1	2	0	0	5	0	2	2	0	0	0	3	2	0	3	3	4	0	1	2	2	0	0	4	1	0	0	4	2	0	2	0	5	4	1	3	1	1	0	0	0	4	0	1	1	5	0	0	0	0	2	3	0	0	2	1	1
Apples	8	523	156	8	0	0	0	0	7	1	3	0	1	4	1	4	0	0	0	8	5	1	3	4	0	7	4	8	0	2	3	4	3	2	3	0	3	5	3	6	1	0	4	1	2	8	0	4	1	0	1	7	0	8	0	1	1	0	1	8	5	6	1	4	0	0	3	0	8	1	0	5	5	3	0	2	7	0	0	1	1	2	6	0	4	0	4	8	0	0	8	0	1	6	1	4	5	2	5	0	6	1	0	0	2	0	6	1	2	0	8	0	0	3	8	8	0	2	0	0	3	0	6	7	0	3	7	0	5	0	5	3	4	0	0	3	5	3	0	6	7	6	1	1	3	5	0	0	3	4	1	3	7	1	3	4	0	7	4	3	0	3	4	1	0	0	7	2	1	0	4	1	1	0	0	3	2	1	0	4	2	3
Arbaz	15	596	125	14	0	1	0	0	9	0	11	0	0	15	1	1	0	0	15	0	4	6	11	7	0	7	2	13	0	8	2	2	3	1	8	2	4	6	8	15	0	0	5	0	3	15	3	8	0	6	0	12	0	15	0	1	0	0	15	0	14	6	0	0	0	0	8	0	12	0	0	7	13	0	0	4	13	0	3	3	0	9	4	0	10	0	6	15	0	0	15	0	0	8	1	5	5	11	10	2	13	1	0	0	3	0	15	0	1	2	14	0	0	3	13	12	0	0	0	2	8	0	12	10	0	2	11	0	5	12	0	2	6	1	1	2	7	13	0	13	8	13	3	0	2	3	0	1	13	6	1	2	13	6	1	1	1	14	13	2	12	3	1	0	0	0	15	0	3	5	6	8	3	1	3	9	2	0	3	8	0	4
